pair,method,banking77_mean,banking77_std,banking77_n,tweet_mean,tweet_std,tweet_n,emotion_mean,emotion_std,emotion_n,mrpc_mean,mrpc_std,mrpc_n,scitail_mean,scitail_std,scitail_n,wic_mean,wic_std,wic_n,sick_mean,sick_std,sick_n,sts12_mean,sts12_std,sts12_n,stsb_mean,stsb_std,stsb_n,avg_iod_mean,avg_iod_std,avg_iod_n,avg_ood_mean,avg_ood_std,avg_ood_n,avg_retrieval_mean,avg_retrieval_std,avg_retrieval_n,avg_all_mean,avg_all_std,avg_all_n
qwen3_0.6b_to_minilm_h384,cdm,0.8518171253583243,0.0008359905601665194,3,0.6913774895363717,0.000680277450717634,3,0.5230410991300597,0.0026098552802917,3,0.8402068260587471,0.00041464288602123745,3,0.6823929592829718,0.0023470461820592615,3,0.6656973917683668,0.002892681717320523,3,0.691541784235389,0.0012576546038242065,3,0.6304936638476827,0.0006094073483947123,3,0.6654907754843777,0.0009542094102277946,3,0.6180764221276014,0.0019440783915418006,3,0.7313049747199144,0.0002058373235313443,3,,,0,0.6935621238558101,0.0007676232798030793,3
qwen3_0.6b_to_minilm_h384,dskd,0.8504227532556259,0.001367507711282976,3,0.6920712823299655,0.0013151544589009036,3,0.5285337972780845,0.0036346534565494582,3,0.8433602935358068,0.0009515208729160792,3,0.6733090027719806,0.0024021620152001417,3,0.6598309871232545,0.0011814878587978269,3,0.6901181697134909,0.0012711600866208656,3,0.6346454475267601,0.0020852693781100527,3,0.6642460306049472,0.0008791225174208839,3,0.6175369383354288,0.0015846934312118244,3,0.7306544915222716,0.0006326710245257557,3,,,0,0.6929486404599907,0.0009098721863797709,3
qwen3_0.6b_to_minilm_h384,emo,0.8508254935410829,0.0017054401391796447,3,0.6811309802154922,0.0010045514905932553,3,0.5395894278415266,0.005971784757993233,3,0.8438492743146527,0.0016327065940995899,3,0.6548121890475068,0.001626252646337284,3,0.6522552982653843,0.0016817329372813316,3,0.6860833431275347,0.0006737593925999556,3,0.5999620089128026,0.00823654637048581,3,0.6537913746142134,0.0038432273277454894,3,0.6152120335737081,0.002916747219148702,3,0.719443881526512,0.0008821923579167275,3,,,0,0.6846999322089107,0.0015143834264392036,3
qwen3_0.6b_to_minilm_h384,geoode,0.9169222201808548,0.0009576559534065232,3,0.7433263684886495,0.0011304016643246843,3,0.662769804112698,0.0017271478265220362,3,0.8493203982846582,0.00033615092139713975,3,0.8349456923093491,0.0014660169896393873,3,0.6746083187634014,1.8345149977262022e-05,3,0.7795601340728334,0.0008542767012420094,3,0.721909862022966,0.0006171057578900953,3,0.783583404201624,0.000371300843097429,3,0.7069871756925745,0.0005264170322768862,3,0.8076641125598852,0.00041390575663888523,3,,,0,0.7741051336041149,0.00045050139667296245,3
qwen3_0.6b_to_minilm_h384,rkd,0.897407431606338,0.0003671495540275073,3,0.7234057222997171,0.002222209608464582,3,0.5798723458937431,0.005181919707860348,3,0.8413226882034573,0.0011708979719653688,3,0.7520438125679135,0.0013608862253214383,3,0.6749060443937265,0.0006082029932175772,3,0.7448398424989464,0.00026227636576490267,3,0.6811817980879687,0.0014821966136058771,3,0.7254771002245337,0.0013585607164478338,3,0.6600851635040011,0.0023822010941760155,3,0.7733668825440567,0.000592589678006083,3,,,0,0.7356063095307049,0.0009037603674992783,3
qwen3_0.6b_to_minilm_h384,stella,0.8573556194016504,0.0021620459571391206,3,0.7025121554688845,0.0006774070379750026,3,0.53475346854899,0.002788247440644894,3,0.8442706409702275,0.000368001640299762,3,0.7122905108290455,0.000538772398934923,3,0.665114176556373,0.0013982851976437937,3,0.7095675810178554,0.0028247081942967102,3,0.6302040817898019,0.00038444681803211057,3,0.6741527058490062,0.0023925697299994712,3,0.6246734503181229,0.0006377332275007857,3,0.7427000982462442,0.00030818213789439235,3,,,0,0.7033578822702037,0.0002457653738293452,3
qwen3_0.6b_to_minilm_h384,talas,0.8978659282549658,0.00025842921391307574,3,0.7386771077701023,0.0016669308293710886,3,0.6175011422239947,0.006122078291144021,3,0.8598617867408959,0.0003392279172071821,3,0.8207018752590752,0.0009179648938922815,3,0.6578913087016259,0.0004090487730190557,3,0.7567457493403936,0.0004724361635398085,3,0.7390971385935639,0.00034135015469107443,3,0.7830916159412172,0.0004417222050092802,3,0.6861613556222793,0.0019733407447362406,3,0.8021582643264994,0.00022643542686633236,3,,,0,0.7634926280917593,0.0008085888003957318,3
bge_m3_to_minilm_h768,cdm,0.8763667428332882,0.0022683582044101505,3,0.7081802424406574,0.0014217539694819786,3,0.563685304531428,0.00573102672162015,3,0.8566839450777879,0.0007669647265619082,3,0.6769475874405693,0.0022997876940678685,3,0.6689091838307418,0.0020412653789744664,3,0.7015196967103533,0.004828541986618224,3,0.6668193423468978,0.0026094369003237883,3,0.6949108414418151,0.0015260924326008752,3,0.6425017766013283,0.0025507672727885537,3,0.7477529261415924,0.0006262790119327019,3,,,0,0.7126692096281709,0.0009698341625352005,3
bge_m3_to_minilm_h768,dskd,0.866896609933845,0.0038161846066676786,3,0.6976376349778626,0.0021526501087390745,3,0.5697877548540866,0.003942772319282682,3,0.8492489589742737,0.0006963885136467512,3,0.6674849648430273,0.0016609472902145335,3,0.6723198275116058,0.0009580846963154197,3,0.6825614628653348,0.004509303858226787,3,0.6627658340068097,0.00022675140307693007,3,0.683054466997949,0.003488131246655676,3,0.6417206831212138,0.0014536221424663745,3,0.7377659109335255,0.0008672845519643704,3,,,0,0.7057508349960884,0.0010449951874709732,3
bge_m3_to_minilm_h768,emo,0.8716954142560552,0.005890756834745261,3,0.7106876417342237,0.0022328856499191263,3,0.5932405107017227,0.0002466840244205053,3,0.842547860173192,0.004087352669849784,3,0.6788591971026373,0.009215545585386934,3,0.6609314948761256,0.001849356785801427,3,0.6903809209220854,0.003839984557114922,3,0.6225634221258108,0.01771930579350835,3,0.6647317148452626,0.003955100130673007,3,0.6396345734743702,0.0007534591666698253,3,0.7361224093856674,0.004815234048606975,3,,,0,0.7039597974152351,0.0034611496227256945,3
bge_m3_to_minilm_h768,geoode,0.9266016637227666,0.0007119151107522861,3,0.7598575718101298,0.003735973187871754,3,0.6530092916352985,0.0036424472719459,3,0.8659648870989463,0.0005073037277777459,3,0.8720994222685845,0.0010893327095033564,3,0.6334541191195237,0.0003222497418647858,3,0.7924320394804503,0.00013197697381591716,3,0.7264979785978759,0.0003977411606106423,3,0.8064225340072145,0.0006315526027642781,3,0.6976286482540123,0.0013600564995186514,3,0.8239089271631256,0.0007582645544720068,3,,,0,0.7818155008600879,0.00016758749143220932,3
bge_m3_to_minilm_h768,rkd,0.9167930802219447,0.0005534071605016145,3,0.7457327934288992,0.003972376566233436,3,0.6244875831589338,0.007513966852365866,3,0.8580879947159058,0.000751554342690969,3,0.7981485401479999,0.001707615638207149,3,0.6356615079529071,0.001271725344825025,3,0.7691069463930781,0.0004581932962777636,3,0.6953863921930278,0.0010844970003606128,3,0.7555649549181543,0.0008632654579117236,3,0.6719046820099983,0.0022362389742184565,3,0.7972092911834759,0.0005308671537267124,3,,,0,0.7554410881256501,0.0009505765511467077,3
bge_m3_to_minilm_h768,stella,0.8871746853433221,0.00409625280484665,3,0.7342878431003904,0.0022883080602778116,3,0.6163208380724461,0.0029132988672372797,3,0.8639452518997436,0.0007895196490877512,3,0.7412670282430917,0.0031361932701246655,3,0.6697515087205638,0.002729332199436555,3,0.7332156835233583,0.0006869972379450639,3,0.6830166028068138,0.0012440983114686576,3,0.7266242421473978,0.0014312598245874494,3,0.6708988629801359,0.0018893456759116482,3,0.7738178491527866,0.0004179743193956437,3,,,0,0.7395115204285698,0.00043699440208506306,3
