pair,method,seed,wall_minutes,train_gpu_minutes,mean_step_ms,samples_per_second,peak_memory_gib,started_at,finished_at,execution_mode,cuda_visible_devices,concurrent_on_same_gpu
qwen3_0.6b_to_minilm_h384,rkd,42,3.230710835258166,2.602118122927348,38.73378621629605,3303.346775991585,0.4113917350769043,2026-09-03T10:00:05.606357+00:00,2026-09-03T10:03:19.450289+00:00,sequential,"2,3",False
qwen3_0.6b_to_minilm_h384,rkd,43,3.3802578813396393,2.788730945301056,41.57732328687395,3077.425810620746,0.41080236434936523,2026-09-03T10:03:19.474953+00:00,2026-09-03T10:06:42.291536+00:00,sequential,"2,3",False
qwen3_0.6b_to_minilm_h384,rkd,44,3.122167041323458,2.5839737049738565,38.493657441485794,3323.953511407623,0.4088101387023926,2026-09-03T10:06:42.296923+00:00,2026-09-03T10:09:49.627780+00:00,sequential,"2,3",False
qwen3_0.6b_to_minilm_h384,stella,42,9.733666326493646,8.683589827855428,129.93787751353176,984.710003487813,1.1409845352172852,2026-09-03T10:09:49.633311+00:00,2026-09-03T10:19:33.654529+00:00,sequential,"2,3",False
qwen3_0.6b_to_minilm_h384,stella,43,15.418104848451913,14.474928225072226,215.49419358332352,593.75673048042,1.5324149131774902,2026-09-03T16:29:22.479392+00:00,2026-09-03T16:44:47.566252+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,stella,44,15.430992378651474,14.546164547602334,217.8266598483972,587.3988423115892,1.534900188446045,2026-09-03T16:32:38.902101+00:00,2026-09-03T16:48:04.762201+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,cdm,42,31.09220386481223,30.571746963500978,458.2097210188557,279.2414083556372,1.5272650718688965,2026-09-03T13:58:55.778411+00:00,2026-09-03T14:30:01.311235+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,cdm,43,35.55350045678206,34.84769195988973,522.0871178304343,245.07620174820212,1.5265045166015625,2026-09-03T14:30:01.312367+00:00,2026-09-03T15:05:34.522972+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,cdm,44,44.00263117927437,43.2066038848877,647.8616521314273,197.49760986562038,1.530301570892334,2026-09-03T14:51:11.068529+00:00,2026-09-03T15:35:11.226993+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,dskd,42,8.455874883197248,7.857248982493082,117.3276070291237,1090.5457893451123,1.5585522651672363,2026-09-03T16:02:58.432782+00:00,2026-09-03T16:11:25.785822+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,dskd,43,9.105323258585607,8.503150074005127,126.82951623060949,1008.8434587016795,1.5589709281921387,2026-09-03T16:08:12.709592+00:00,2026-09-03T16:17:19.029548+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,dskd,44,10.30351272507881,9.68389522628784,144.48412160849512,885.5722441684959,1.560086727142334,2026-09-03T16:11:25.786856+00:00,2026-09-03T16:21:43.998211+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,emo,42,513.4827983707189,512.7024386027018,7702.032573927495,16.612644336597864,1.532468318939209,2026-09-03T10:19:43.493308+00:00,2026-09-03T18:53:12.461667+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,emo,43,271.4595031697458,270.79318511759436,4065.3894576835155,31.473276829043638,1.5308079719543457,2026-09-03T10:19:43.496618+00:00,2026-09-03T14:51:11.067204+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,emo,44,522.0177492504785,521.2270322550455,7826.8063478398135,16.347808050069258,1.534498691558838,2026-09-03T10:21:15.912145+00:00,2026-09-03T19:03:16.977486+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,talas,42,7.287719898686434,6.714154561106364,100.46177659954941,1273.6299531071875,0.34383296966552734,2026-09-03T11:50:04.727937+00:00,2026-09-03T11:57:21.991596+00:00,parallel,1,True
qwen3_0.6b_to_minilm_h384,talas,43,7.086512692272663,6.56425088113149,98.20999112714802,1302.832088172133,0.3433561325073242,2026-09-03T11:57:21.992704+00:00,2026-09-03T12:04:27.183944+00:00,parallel,1,True
qwen3_0.6b_to_minilm_h384,talas,44,7.169792174734175,6.62971494140625,99.30310561674878,1288.490697495046,0.3397836685180664,2026-09-03T12:04:27.185031+00:00,2026-09-03T12:11:37.373123+00:00,parallel,1,True
qwen3_0.6b_to_minilm_h384,geoode,42,2.8799114781587076,2.0050679852803546,29.891862159384818,4280.466942384099,0.4117579460144043,2026-09-03T10:19:43.495109+00:00,2026-09-03T10:22:36.290734+00:00,parallel,2,True
qwen3_0.6b_to_minilm_h384,geoode,43,2.997171701102828,2.1003022046724955,31.294092141058208,4088.66719132828,0.41089391708374023,2026-09-03T10:19:43.498227+00:00,2026-09-03T10:22:43.329496+00:00,parallel,3,True
qwen3_0.6b_to_minilm_h384,geoode,44,2.896892136397461,2.0833429091135662,31.11985563216054,4111.559170837506,0.4097476005554199,2026-09-03T10:22:36.291696+00:00,2026-09-03T10:25:30.106279+00:00,parallel,2,True
bge_m3_to_minilm_h768,rkd,42,3.3007719746635606,2.6954515201886493,40.179267330217485,3184.506247163972,1.0756711959838867,2026-09-03T13:09:43.611308+00:00,2026-09-03T13:13:01.658233+00:00,parallel,1,True
bge_m3_to_minilm_h768,rkd,43,3.232366260436053,2.5674164625167846,38.140586555213254,3354.7236520425204,1.0874204635620117,2026-09-03T13:13:01.659244+00:00,2026-09-03T13:16:15.601803+00:00,parallel,1,True
bge_m3_to_minilm_h768,rkd,44,3.2842459270885835,2.612116001065572,38.7737596411454,3299.9412232331338,1.068770408630371,2026-09-03T13:16:15.602845+00:00,2026-09-03T13:19:32.658127+00:00,parallel,1,True
bge_m3_to_minilm_h768,stella,42,10.872037211898714,9.939006901423136,148.77030980389816,860.058219870671,2.157196044921875,2026-09-03T16:44:47.567316+00:00,2026-09-03T16:55:39.890161+00:00,parallel,3,True
bge_m3_to_minilm_h768,stella,43,10.47096644860382,9.444459248860678,139.82933874297564,915.0520839888942,2.154153823852539,2026-09-03T16:48:04.763174+00:00,2026-09-03T16:58:33.021680+00:00,parallel,2,True
bge_m3_to_minilm_h768,stella,44,10.652772183918083,9.735096177864076,145.8204169299668,877.456878216169,2.1565475463867188,2026-09-03T16:55:39.891289+00:00,2026-09-03T17:06:19.058187+00:00,parallel,3,True
bge_m3_to_minilm_h768,cdm,42,34.30454486566596,33.5511599899292,502.3620609445978,254.69902639335606,2.1578922271728516,2026-09-03T15:05:34.524332+00:00,2026-09-03T15:39:52.797556+00:00,parallel,2,True
bge_m3_to_minilm_h768,cdm,43,27.786722414459412,27.18254114405314,407.032691504304,314.35098578118976,2.157054901123047,2026-09-03T15:35:11.228119+00:00,2026-09-03T16:02:58.431866+00:00,parallel,3,True
bge_m3_to_minilm_h768,cdm,44,28.331830273149535,27.664289981587725,414.10411224747656,308.9829925260023,2.146848678588867,2026-09-03T15:39:52.798295+00:00,2026-09-03T16:08:12.708695+00:00,parallel,2,True
bge_m3_to_minilm_h768,dskd,42,7.5776401350585125,6.578893428357443,97.81688338067,1308.0679264908354,2.2275733947753906,2026-09-03T16:17:19.030980+00:00,2026-09-03T16:24:53.689834+00:00,parallel,2,True
bge_m3_to_minilm_h768,dskd,43,7.641311495782187,6.5884691370646165,98.23377710786977,1302.5166250000414,2.218914031982422,2026-09-03T16:21:43.999110+00:00,2026-09-03T16:29:22.478388+00:00,parallel,3,True
